,Make,Model
2,toyota,corolla
3,honda,civic
4,suzuki,cultus
5,honda,city
6,suzuki,mehran
7,suzuki,alto
8,toyota,vitz
9,suzuki,wagon-r
10,suzuki,swift
11,toyota,passo
12,daihatsu,mira
13,daihatsu,cuore
14,toyota,prius
15,hyundai,santro
16,suzuki,bolan
17,toyota,aqua
18,toyota,prado
19,suzuki,baleno
20,suzuki,khyber
21,toyota,hilux
22,suzuki,liana
23,honda,vezel
24,daihatsu,move
25,toyota,yaris
26,honda,br-v
27,kia,sportage
28,suzuki,every
29,toyota,land-cruiser
30,toyota,fortuner
31,toyota,corolla-axio
32,toyota,premio
33,toyota,belta
34,suzuki,ravi
35,mitsubishi,lancer
36,honda,accord
37,suzuki,margalla
38,nissan,sunny
39,daihatsu,charade
40,toyota,surf
41,mitsubishi,ek-wagon
42,toyota,corolla-fielder
43,daihatsu,hijet
44,honda,fit
45,nissan,dayz-highway-star
46,suzuki,fx
47,mitsubishi,pajero
48,nissan,dayz
49,mercedes-benz,c-class
50,mitsubishi,pajero-mini
51,mercedes-benz,e-class
52,suzuki,every-wagon
53,faw,v2
54,honda,n-wgn
55,toyota,platz
56,kia,picanto
57,nissan,moco
58,toyota,probox
59,honda,life
60,nissan,clipper
61,faw,x-pv
62,honda,civic-hybrid
63,prince,pearl
64,honda,n-one
65,nissan,ad-van
66,nissan,juke
67,suzuki,ciaz
68,toyota,mark-x
69,changan,karvaan
70,daihatsu,boon
71,kia,classic
72,mitsubishi,mirage
73,suzuki,hustler
74,suzuki,jimny
75,united,bravo
76,daihatsu,terios-kid
77,chevrolet,joy
78,daihatsu,esse
79,hyundai,tucson
80,suzuki,kei
81,toyota,hiace
82,daewoo,racer
83,toyota,camry
84,toyota,rush
85,suzuki,mr-wagon
86,suzuki,potohar
87,nissan,note
88,suzuki,apv
89,toyota,mark-ii
90,toyota,c-hr
91,toyota,pixis-epoch
92,audi,a4
93,honda,grace-hybrid
94,toyota,prius-alpha
95,daihatsu,cast
96,honda,freed
97,toyota,crown
98,audi,a5
